,ownsCar,ownsRealty,numChildren,totalIncome,incomeType,eduLvl,famStatus,housingType,occupation,famSize,ageYrs,yrsEmpl,UNEMPLOYED,ApprStatus,gender
450,N,Y,1,247500,Working,Secondary / secondary special,Married,House / apartment,Managers,3,36,3,1,0,F
451,Y,Y,0,144000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,47,2,1,0,F
452,N,N,0,135000,Commercial associate,Higher education,Separated,House / apartment,HR staff,1,33,13,1,1,F
453,N,Y,0,215550,Working,Higher education,Married,House / apartment,High skill tech staff,2,29,2,1,0,F
454,Y,Y,0,180000,Commercial associate,Higher education,Single / not married,House / apartment,Core staff,1,42,19,1,0,F
455,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,1,F
456,Y,Y,0,292500,State servant,Higher education,Married,House / apartment,Not identified,2,45,6,1,0,F
457,N,Y,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,0,F
458,N,Y,0,225000,Commercial associate,Incomplete higher,Civil marriage,House / apartment,Sales staff,2,24,0,1,0,F
459,N,Y,3,292500,Pensioner,Secondary / secondary special,Married,House / apartment,Core staff,5,34,1,1,1,F
460,Y,Y,1,90000,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,3,48,22,1,1,F
461,N,Y,0,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,54,7,1,0,F
462,N,Y,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,64,0,0,1,F
463,Y,Y,0,225000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,1,F
464,N,N,1,90000,Working,Secondary / secondary special,Married,With parents,Not identified,3,28,2,1,0,F
465,N,Y,0,67500,Working,Secondary / secondary special,Separated,House / apartment,Not identified,1,54,8,1,1,F
466,N,N,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0,F
467,N,Y,0,216000,State servant,Higher education,Married,House / apartment,Core staff,2,55,12,1,0,F
468,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,51,15,1,0,F
469,Y,Y,0,279000,Commercial associate,Higher education,Single / not married,Office apartment,Managers,1,28,7,1,0,F
470,N,Y,0,126000,Working,Secondary / secondary special,Single / not married,House / apartment,Cooking staff,1,47,7,1,1,F
471,N,N,0,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,42,3,1,1,F
472,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,48,5,1,1,F
473,N,N,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,3,34,1,1,1,F
474,N,Y,0,99000,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,59,0,0,1,F
475,N,N,1,157500,Working,Higher education,Married,House / apartment,Sales staff,3,44,0,1,1,F
476,N,Y,0,27000,Working,Secondary / secondary special,Married,House / apartment,Security staff,2,53,3,1,1,F
477,N,Y,0,180000,Commercial associate,Higher education,Married,House / apartment,Private service staff,2,65,0,1,0,F
478,Y,N,0,69750,Pensioner,Higher education,Widow,House / apartment,Not identified,1,58,0,0,1,F
479,N,Y,0,162000,Working,Higher education,Married,House / apartment,Managers,2,53,4,1,1,F
480,N,N,0,45000,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,2,39,14,1,0,F
481,N,Y,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,61,0,0,0,F
482,N,N,1,135000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,43,25,1,1,F
483,Y,Y,0,180000,Working,Higher education,Married,House / apartment,Sales staff,2,47,7,1,1,F
484,Y,Y,0,445500,Commercial associate,Higher education,Married,House / apartment,Managers,2,35,1,1,1,F
485,N,Y,0,450000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,61,0,0,1,F
486,N,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,Not identified,2,27,0,1,0,F
487,N,Y,0,153000,Commercial associate,Incomplete higher,Married,House / apartment,Not identified,2,26,2,1,1,F
488,Y,N,0,252000,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,31,1,1,0,F
489,Y,Y,0,178650,Pensioner,Higher education,Widow,House / apartment,Not identified,1,48,0,0,1,F
490,N,Y,2,153000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,4,35,1,1,0,F
491,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,56,0,0,0,F
492,Y,Y,1,126000,Working,Secondary / secondary special,Civil marriage,House / apartment,Sales staff,3,37,2,1,1,F
493,Y,Y,0,85500,Working,Higher education,Married,House / apartment,Core staff,2,51,26,1,0,F
494,Y,Y,0,90000,Working,Higher education,Married,Co-op apartment,Not identified,2,47,6,1,1,F
495,N,Y,1,126000,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,3,32,3,1,1,F
496,N,N,0,225000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,1,F
497,N,Y,0,45000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,1,F
498,N,Y,0,238500,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,61,39,1,0,F
499,N,Y,0,225000,Working,Secondary / secondary special,Widow,House / apartment,Medicine staff,1,52,8,1,0,F
500,N,Y,1,270000,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,3,40,6,1,0,F
501,N,Y,0,135000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,57,0,0,0,F
502,N,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,3,42,0,1,0,F
503,N,N,0,112500,Working,Secondary / secondary special,Married,With parents,Not identified,2,54,3,1,0,F
504,N,N,0,193500,Pensioner,Higher education,Widow,House / apartment,Not identified,1,61,0,0,1,F
505,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,2,51,8,1,1,F
506,Y,N,1,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,3,31,0,1,1,F
507,N,Y,0,85500,Working,Secondary / secondary special,Separated,House / apartment,Not identified,1,60,41,1,1,F
508,N,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,High skill tech staff,1,36,1,1,1,F
509,Y,N,0,292500,Working,Secondary / secondary special,Civil marriage,With parents,Core staff,2,28,5,1,0,F
510,N,Y,0,90000,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,25,2,1,0,F
511,N,Y,0,126000,Pensioner,Secondary / secondary special,Married,Rented apartment,Not identified,2,60,0,0,0,F
512,N,Y,1,144000,Working,Higher education,Civil marriage,House / apartment,Secretaries,3,37,0,1,1,F
513,Y,Y,2,225000,Working,Secondary / secondary special,Married,House / apartment,Not identified,4,37,16,1,0,F
514,Y,Y,2,270000,State servant,Higher education,Married,House / apartment,Cleaning staff,4,49,2,1,1,F
515,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,4,33,10,1,1,F
516,Y,Y,0,225000,Pensioner,Higher education,Married,House / apartment,Not identified,2,65,0,0,1,F
517,N,N,0,270000,Working,Secondary / secondary special,Married,House / apartment,Drivers,2,51,24,1,1,F
518,Y,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,43,11,1,1,F
519,Y,Y,0,81000,Working,Higher education,Married,House / apartment,Cooking staff,2,35,2,1,0,F
520,N,N,0,90000,Working,Higher education,Civil marriage,House / apartment,Core staff,2,29,6,1,1,F
521,N,N,0,198000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,0,F
522,N,N,0,225000,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1,33,3,1,0,F
523,N,Y,0,180000,Working,Higher education,Married,House / apartment,Core staff,2,43,4,1,0,F
524,N,Y,0,67500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,50,11,1,1,F
525,N,N,0,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,Security staff,2,28,4,1,1,F
526,N,Y,0,247500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,62,0,0,0,F
527,N,Y,1,193500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,47,2,1,0,F
528,Y,Y,0,211500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,56,0,0,1,F
529,Y,Y,0,292500,Working,Higher education,Single / not married,House / apartment,Managers,1,34,2,1,1,F
530,N,N,0,94500,Working,Secondary / secondary special,Widow,Rented apartment,Sales staff,1,61,2,1,1,F
531,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,41,4,1,0,F
532,Y,Y,0,135000,Commercial associate,Higher education,Married,House / apartment,Sales staff,2,58,0,1,1,F
533,N,N,0,211500,Working,Secondary / secondary special,Married,House / apartment,Not identified,2,48,4,1,0,F
534,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,41,2,1,0,F
535,N,Y,0,337500,Working,Higher education,Widow,House / apartment,Accountants,1,62,8,1,0,F
536,N,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,55,17,1,0,F
537,N,Y,1,85500,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,3,46,2,1,0,F
538,Y,N,0,180000,State servant,Secondary / secondary special,Single / not married,House / apartment,Core staff,1,49,22,1,0,F
539,N,N,0,234000,State servant,Higher education,Civil marriage,House / apartment,Core staff,2,61,14,1,0,F
540,N,Y,0,94500,Pensioner,Lower secondary,Separated,House / apartment,Not identified,1,63,0,0,1,F
541,N,N,0,450000,Pensioner,Higher education,Married,House / apartment,Not identified,2,61,0,0,1,F
542,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,2,44,2,1,1,F
543,N,N,0,67500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,47,15,1,0,F
544,N,N,0,112500,Working,Secondary / secondary special,Separated,House / apartment,Security staff,1,53,19,1,1,F
545,Y,Y,1,157500,State servant,Secondary / secondary special,Married,House / apartment,Laborers,3,38,9,1,1,F
546,N,Y,0,225000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,63,0,0,0,F
547,N,Y,2,315000,Commercial associate,Higher education,Married,House / apartment,Managers,4,30,0,1,1,F
548,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,Laborers,3,42,0,1,0,F
549,N,Y,0,99000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,67,0,0,0,F
550,N,Y,0,112500,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,58,0,0,1,F
551,N,Y,0,270000,Pensioner,Higher education,Single / not married,House / apartment,Not identified,1,59,0,0,1,F
552,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,48,3,1,0,F
553,Y,Y,0,99000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,43,7,1,1,F
554,N,Y,1,90000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,37,7,1,0,F
555,N,N,0,270000,Working,Secondary / secondary special,Civil marriage,Office apartment,Sales staff,2,26,2,1,0,F
556,Y,Y,2,202500,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,4,36,3,1,0,F
557,Y,Y,0,675000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,52,2,1,1,F
558,Y,Y,0,135000,Commercial associate,Higher education,Civil marriage,House / apartment,Medicine staff,2,36,4,1,1,F
559,Y,Y,1,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,3,43,6,1,1,F
560,N,Y,0,112500,Working,Incomplete higher,Civil marriage,House / apartment,Not identified,2,26,4,1,0,F
561,N,Y,0,126000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,54,0,0,0,F
562,Y,Y,0,360000,Pensioner,Secondary / secondary special,Married,Municipal apartment,Not identified,2,65,0,0,0,F
563,N,Y,0,90000,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Cleaning staff,1,51,3,1,1,F
564,N,Y,0,67500,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,25,3,1,0,F
565,Y,N,0,225000,Working,Higher education,Married,House / apartment,Accountants,2,42,15,1,0,F
566,Y,Y,1,225000,Commercial associate,Higher education,Married,House / apartment,Managers,3,47,2,1,1,F
567,Y,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,1,53,3,1,1,F
568,N,Y,0,108000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,1,F
569,N,N,0,202500,Commercial associate,Higher education,Single / not married,House / apartment,Managers,1,34,5,1,1,F
570,N,N,0,135000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,44,9,1,1,F
571,N,Y,3,112500,Working,Higher education,Married,House / apartment,Not identified,5,39,14,1,1,F
572,N,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,1,F
573,Y,N,1,225000,Commercial associate,Higher education,Civil marriage,With parents,Accountants,3,28,1,1,1,F
574,Y,Y,2,67500,Working,Higher education,Married,Municipal apartment,Secretaries,4,34,8,1,0,F
575,Y,N,1,157500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,3,41,2,1,1,F
576,N,N,0,157500,Commercial associate,Higher education,Civil marriage,House / apartment,Accountants,2,28,0,1,0,F
577,N,Y,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0,F
578,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,66,0,0,0,F
579,Y,Y,0,360000,Pensioner,Higher education,Married,House / apartment,Not identified,2,59,0,0,0,F
580,N,Y,0,112500,Working,Secondary / secondary special,Separated,House / apartment,Sales staff,1,48,7,1,0,F
581,N,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,57,0,0,1,F
582,N,Y,0,292500,Commercial associate,Higher education,Single / not married,House / apartment,Managers,1,29,6,1,1,F
583,Y,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,33,0,1,0,F
584,N,N,0,90000,Working,Higher education,Married,House / apartment,Managers,2,34,4,1,1,F
585,N,N,0,360000,Commercial associate,Higher education,Separated,House / apartment,Not identified,1,50,10,1,0,F
586,N,Y,0,72000,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,64,0,0,1,F
587,N,Y,0,139500,State servant,Higher education,Married,House / apartment,Not identified,2,58,2,1,0,F
588,Y,Y,0,243000,Working,Secondary / secondary special,Single / not married,House / apartment,Sales staff,1,41,5,1,1,F
589,N,N,0,67500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,55,6,1,1,F
590,N,Y,0,157500,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,2,47,5,1,1,F
591,N,Y,0,157500,State servant,Secondary / secondary special,Married,House / apartment,Not identified,2,54,9,1,0,F
592,N,N,0,135000,State servant,Higher education,Separated,With parents,IT staff,1,54,5,1,0,F
593,N,Y,1,225000,Working,Higher education,Married,House / apartment,Drivers,3,32,2,1,1,F
594,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,42,4,1,0,F
595,Y,Y,1,1575000,Commercial associate,Higher education,Single / not married,House / apartment,Managers,2,28,6,1,1,F
596,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,38,5,1,1,F
597,Y,N,0,112500,Pensioner,Higher education,Married,House / apartment,Not identified,2,60,0,0,0,F
598,N,Y,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,64,6,1,0,F
599,N,Y,0,130500,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,38,15,1,0,F
600,Y,Y,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,40,5,1,1,F
601,N,Y,0,126000,Working,Secondary / secondary special,Single / not married,House / apartment,Private service staff,1,44,2,1,1,F
602,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,28,4,1,1,F
603,Y,Y,2,72000,Working,Higher education,Married,House / apartment,Core staff,4,29,5,1,0,F
604,Y,Y,1,99000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,36,1,1,0,F
605,N,N,0,126000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,46,15,1,0,F
606,Y,N,0,144000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,0,F
607,Y,Y,1,337500,Commercial associate,Higher education,Married,House / apartment,High skill tech staff,3,40,3,1,1,F
608,N,N,0,67500,Pensioner,Higher education,Widow,House / apartment,Not identified,1,66,0,0,0,F
609,N,Y,1,54000,Working,Secondary / secondary special,Married,House / apartment,Not identified,3,36,6,1,1,F
610,N,Y,0,135000,State servant,Higher education,Separated,House / apartment,Core staff,1,46,25,1,0,F
611,N,Y,0,283500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,50,1,1,0,F
612,N,Y,0,202500,Pensioner,Secondary / secondary special,Separated,House / apartment,Not identified,1,62,0,0,1,F
613,N,Y,0,117000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,26,2,1,1,F
614,Y,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,2,57,10,1,1,F
615,Y,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,0,F
616,N,Y,0,117000,Pensioner,Higher education,Married,House / apartment,Not identified,2,59,0,0,1,F
617,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,64,0,0,1,F
618,N,N,1,76500,Commercial associate,Secondary / secondary special,Civil marriage,With parents,Sales staff,3,30,3,1,1,F
619,Y,N,1,157500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Not identified,3,29,8,1,0,F
620,N,Y,0,90000,Working,Higher education,Single / not married,House / apartment,Core staff,1,42,3,1,1,F
621,Y,Y,0,225000,Commercial associate,Higher education,Civil marriage,House / apartment,Sales staff,2,33,0,1,0,F
622,Y,Y,0,166500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,34,8,1,1,F
623,N,N,0,247500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,68,0,0,1,F
624,N,Y,2,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,4,30,1,1,1,F
625,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,38,9,1,0,F
626,N,Y,0,225000,Commercial associate,Higher education,Single / not married,With parents,Core staff,1,31,1,1,1,F
627,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,63,0,0,1,F
628,N,Y,0,180000,State servant,Higher education,Married,House / apartment,High skill tech staff,2,60,34,1,1,F
629,N,N,1,202500,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,2,30,8,1,1,F
630,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Secretaries,2,31,8,1,0,F
631,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Core staff,2,35,1,1,1,F
632,N,Y,1,225000,Working,Secondary / secondary special,Separated,House / apartment,Not identified,2,39,10,1,1,F
633,Y,Y,0,279000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,1,F
634,N,Y,1,148500,Working,Secondary / secondary special,Married,House / apartment,High skill tech staff,3,42,2,1,1,F
635,N,Y,3,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,5,36,2,1,0,F
636,N,Y,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Waiters/barmen staff,3,38,7,1,1,F
637,N,Y,2,135000,Working,Secondary / secondary special,Married,House / apartment,Realty agents,4,36,3,1,0,F
638,N,N,0,90000,Pensioner,Higher education,Widow,House / apartment,Not identified,1,68,0,0,1,F
639,N,N,0,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,38,8,1,0,F
640,N,Y,0,135000,Pensioner,Higher education,Widow,House / apartment,Not identified,1,62,0,0,1,F
641,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,39,1,1,1,F
642,N,N,0,450000,Working,Higher education,Separated,House / apartment,Core staff,1,53,2,1,1,F
643,Y,N,0,81000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,51,15,1,0,F
644,N,N,0,270000,Working,Higher education,Married,House / apartment,Accountants,2,34,2,1,0,F
645,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,34,5,1,1,F
646,N,Y,0,157500,Working,Higher education,Married,House / apartment,Core staff,2,47,2,1,0,F
647,N,Y,2,118350,Working,Secondary / secondary special,Married,House / apartment,Cooking staff,4,29,8,1,0,F
648,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,61,0,0,0,F
649,N,Y,0,99000,Working,Secondary / secondary special,Civil marriage,House / apartment,Cooking staff,2,42,1,1,0,F
650,N,Y,0,40500,Pensioner,Lower secondary,Married,House / apartment,Not identified,2,66,0,0,0,F
651,N,N,3,112500,Working,Incomplete higher,Married,Municipal apartment,Sales staff,5,43,6,1,0,F
652,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,Managers,2,56,14,1,0,F
653,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,56,0,0,1,F
654,N,Y,1,121500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,Not identified,3,43,1,1,1,F
655,N,Y,0,135000,Working,Secondary / secondary special,Married,House / apartment,Managers,2,51,5,1,0,F
656,N,Y,2,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Realty agents,4,34,3,1,1,F
657,N,Y,0,225000,State servant,Secondary / secondary special,Married,House / apartment,Private service staff,2,55,6,1,1,F
658,N,Y,1,247500,Commercial associate,Incomplete higher,Married,House / apartment,Accountants,3,30,2,1,0,F
659,N,Y,0,180000,Working,Higher education,Married,House / apartment,Cooking staff,2,44,4,1,1,F
660,N,Y,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,Medicine staff,2,45,23,1,0,F
661,N,N,2,180000,Working,Secondary / secondary special,Single / not married,House / apartment,Not identified,4,46,22,1,0,F
662,N,Y,1,337500,State servant,Higher education,Separated,House / apartment,Core staff,2,29,4,1,0,F
663,Y,Y,0,202500,State servant,Incomplete higher,Married,Municipal apartment,Laborers,2,38,2,1,0,F
664,Y,N,1,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,Core staff,3,29,2,1,1,F
665,N,Y,0,216000,Working,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,1,50,8,1,1,F
666,N,N,1,81000,Working,Secondary / secondary special,Married,With parents,Core staff,3,36,9,1,0,F
667,N,Y,0,270000,Working,Secondary / secondary special,Married,House / apartment,Medicine staff,2,61,5,1,1,F
668,N,Y,0,129150,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,Drivers,1,38,6,1,0,F
669,N,N,0,112500,State servant,Higher education,Single / not married,House / apartment,Core staff,1,29,6,1,1,F
670,N,N,1,157500,Working,Higher education,Single / not married,House / apartment,Accountants,2,33,5,1,1,F
671,N,Y,0,90000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,48,3,1,1,F
672,N,N,0,76500,Working,Secondary / secondary special,Widow,House / apartment,Sales staff,1,54,8,1,1,F
673,N,N,0,112500,Commercial associate,Secondary / secondary special,Married,House / apartment,Not identified,2,59,15,1,0,F
674,N,Y,0,126000,Pensioner,Higher education,Married,House / apartment,Not identified,2,60,0,0,0,F
675,N,Y,1,225000,Commercial associate,Higher education,Single / not married,House / apartment,Not identified,2,25,2,1,0,F
676,N,Y,0,90000,Working,Secondary / secondary special,Civil marriage,House / apartment,Laborers,2,46,1,1,1,F
677,N,N,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,59,0,0,1,F
678,Y,Y,0,54000,State servant,Secondary / secondary special,Single / not married,House / apartment,Medicine staff,1,24,4,1,1,F
679,N,N,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,56,0,0,0,F
680,Y,N,1,315000,Commercial associate,Higher education,Married,House / apartment,Not identified,3,31,5,1,1,F
681,N,Y,1,117000,Working,Secondary / secondary special,Civil marriage,Office apartment,Not identified,3,29,4,1,0,F
682,Y,Y,1,225000,Commercial associate,Higher education,Civil marriage,House / apartment,Not identified,3,30,7,1,1,F
683,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,47,28,1,0,F
684,Y,Y,0,135000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,Not identified,2,57,0,0,1,F
685,Y,N,0,315000,Working,Secondary / secondary special,Married,House / apartment,Accountants,2,47,2,1,1,F
686,N,Y,0,207000,State servant,Secondary / secondary special,Widow,House / apartment,Medicine staff,1,55,16,1,1,F
687,N,Y,0,103500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,58,0,0,0,F
688,N,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,59,0,0,0,F
689,Y,Y,0,157500,Working,Higher education,Married,House / apartment,Laborers,2,41,6,1,1,F
690,Y,N,0,126000,Working,Secondary / secondary special,Married,House / apartment,Laborers,2,53,9,1,0,F
691,N,N,1,189000,Commercial associate,Higher education,Widow,House / apartment,Managers,2,50,1,1,1,F
692,N,N,7,157500,Working,Secondary / secondary special,Married,House / apartment,Cleaning staff,9,38,4,1,0,F
693,Y,N,0,121500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,64,0,0,0,F
694,N,Y,0,112500,State servant,Secondary / secondary special,Married,House / apartment,Medicine staff,2,59,2,1,0,F
695,Y,N,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,High skill tech staff,2,44,12,1,1,F
696,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,Office apartment,Waiters/barmen staff,1,28,3,1,1,F
697,N,N,0,202500,Pensioner,Secondary / secondary special,Single / not married,House / apartment,Not identified,1,62,0,0,1,F
698,N,Y,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,Not identified,1,63,0,0,0,F
699,N,Y,0,157500,Commercial associate,Higher education,Married,House / apartment,Managers,2,31,5,1,1,F
700,N,N,0,81000,Commercial associate,Secondary / secondary special,Separated,House / apartment,Sales staff,1,50,4,1,1,F
701,N,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,Laborers,2,52,31,1,1,F
702,N,N,0,405000,Working,Higher education,Married,House / apartment,Not identified,2,45,19,1,1,F
703,N,Y,2,243000,State servant,Higher education,Married,House / apartment,Core staff,4,28,9,1,1,F
704,N,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,Sales staff,2,55,14,1,1,F
705,N,Y,0,202500,Pensioner,Secondary / secondary special,Married,House / apartment,Not identified,2,64,0,0,1,F
706,N,Y,0,270000,Commercial associate,Secondary / secondary special,Married,House / apartment,Sales staff,2,35,2,1,1,F
707,N,Y,0,99000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,53,13,1,1,F
708,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,Secretaries,3,31,5,1,1,F
709,Y,Y,0,76500,Working,Higher education,Married,House / apartment,Not identified,2,49,11,1,0,F
710,Y,N,0,315000,Commercial associate,Higher education,Married,House / apartment,Not identified,2,38,1,1,1,F
711,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,Managers,2,53,8,1,1,F
712,N,Y,0,162000,Commercial associate,Secondary / secondary special,Married,House / apartment,Accountants,2,61,9,1,1,F
713,Y,Y,0,180000,Working,Secondary / secondary special,Single / not married,House / apartment,Laborers,1,58,7,1,0,F
